Date,High,Low,Open,Close,Volume,Adj Close
2009-12-31,10555.009765625,10423.1298828125,10548.509765625,10428.0498046875,137940000,10428.0498046875
2010-01-04,10604.9697265625,10430.6904296875,10430.6904296875,10583.9599609375,179780000,10583.9599609375
2010-01-05,10584.5595703125,10522.51953125,10584.5595703125,10572.01953125,188540000,10572.01953125
2010-01-06,10594.990234375,10546.5498046875,10564.7197265625,10573.6796875,186040000,10573.6796875
2010-01-07,10612.3701171875,10505.2099609375,10571.1103515625,10606.8603515625,217390000,10606.8603515625
2010-01-08,10619.400390625,10554.330078125,10606.400390625,10618.1904296875,172710000,10618.1904296875
2010-01-11,10676.23046875,10591.58984375,10620.3095703125,10663.990234375,182050000,10663.990234375
2010-01-12,10663.080078125,10568.83984375,10662.8603515625,10627.259765625,256050000,10627.259765625
2010-01-13,10709.259765625,10614.490234375,10628.08984375,10680.76953125,202810000,10680.76953125
2010-01-14,10723.76953125,10666.8603515625,10680.16015625,10710.5498046875,201320000,10710.5498046875
2010-01-15,10709.9404296875,10561.0595703125,10706.990234375,10609.650390625,362930000,10609.650390625
2010-01-19,10729.8896484375,10591.9697265625,10608.3701171875,10725.4296875,192150000,10725.4296875
2010-01-20,10719.919921875,10517.2998046875,10719.6904296875,10603.150390625,203270000,10603.150390625
2010-01-21,10614.9404296875,10374.6904296875,10603.91015625,10389.8798828125,304290000,10389.8798828125
2010-01-22,10389.580078125,10157.6396484375,10389.580078125,10172.98046875,323620000,10172.98046875
2010-01-25,10256.8701171875,10171.76953125,10175.099609375,10196.8603515625,215330000,10196.8603515625
2010-01-26,10285.1298828125,10155.599609375,10195.349609375,10194.2900390625,217300000,10194.2900390625
2010-01-27,10255.0595703125,10104.3603515625,10194.2900390625,10236.16015625,262170000,10236.16015625
2010-01-28,10258.830078125,10055.080078125,10236.919921875,10120.4599609375,240050000,10120.4599609375
2010-01-29,10239.33984375,10043.75,10122.0400390625,10067.330078125,316900000,10067.330078125
2010-02-01,10190.8896484375,10068.91015625,10068.990234375,10185.5302734375,198430000,10185.5302734375
2010-02-02,10314.83984375,10173.58984375,10186.1298828125,10296.849609375,237140000,10296.849609375
2010-02-03,10307.2001953125,10231.9296875,10291.73046875,10270.5498046875,198940000,10270.5498046875
2010-02-04,10273.1201171875,9998.0302734375,10273.1201171875,10002.1796875,304240000,10002.1796875
2010-02-05,10031.9599609375,9835.08984375,10003.6904296875,10012.23046875,308320000,10012.23046875
2010-02-08,10028.5595703125,9904.08984375,10005.4296875,9908.3896484375,216270000,9908.3896484375
2010-02-09,10139.4296875,9910.0595703125,9910.2802734375,10058.6396484375,236210000,10058.6396484375
2010-02-10,10085.5400390625,9962.9599609375,10055.4599609375,10038.3798828125,178600000,10038.3798828125
2010-02-11,10161.5703125,9976.7099609375,10037.849609375,10144.1904296875,194470000,10144.1904296875
2010-02-12,10137.3896484375,9983.8203125,10137.23046875,10099.1396484375,296510000,10099.1396484375
2010-02-16,10279.5400390625,10100.8095703125,10100.8095703125,10268.8095703125,234900000,10268.8095703125
2010-02-17,10320.1298828125,10261.48046875,10261.48046875,10309.240234375,193270000,10309.240234375
2010-02-18,10406.580078125,10294.509765625,10309.3896484375,10392.900390625,185310000,10392.900390625
2010-02-19,10438.5498046875,10339.169921875,10387.76953125,10402.349609375,241750000,10402.349609375
2010-02-22,10433.6396484375,10368.9501953125,10402.4296875,10383.3798828125,158440000,10383.3798828125
2010-02-23,10411.1201171875,10267.830078125,10383.16015625,10282.41015625,190740000,10282.41015625
2010-02-24,10393.509765625,10283.9296875,10284.0,10374.16015625,181450000,10374.16015625
2010-02-25,10366.6796875,10185.830078125,10366.599609375,10321.0302734375,242550000,10321.0302734375
2010-02-26,10353.4501953125,10272.2900390625,10321.41015625,10325.259765625,282120000,10325.259765625
2010-03-01,10413.990234375,10326.099609375,10326.099609375,10403.7900390625,173750000,10403.7900390625
2010-03-02,10456.919921875,10389.4296875,10404.16015625,10405.98046875,217180000,10405.98046875
2010-03-03,10469.5400390625,10376.580078125,10406.2802734375,10396.759765625,183290000,10396.759765625
2010-03-04,10452.3798828125,10390.8603515625,10396.5302734375,10444.1396484375,165740000,10444.1396484375
2010-03-05,10571.9404296875,10445.0498046875,10445.1298828125,10566.2001953125,184270000,10566.2001953125
2010-03-08,10587.740234375,10542.3896484375,10563.7802734375,10552.51953125,171780000,10552.51953125
2010-03-09,10612.599609375,10533.9296875,10552.240234375,10564.3798828125,219860000,10564.3798828125
2010-03-10,10601.7900390625,10526.51953125,10560.1298828125,10567.330078125,186570000,10567.330078125
2010-03-11,10611.83984375,10507.169921875,10560.98046875,10611.83984375,150000000,10611.83984375
2010-03-12,10644.9501953125,10594.83984375,10611.76953125,10624.6904296875,166140000,10624.6904296875
2010-03-15,10644.1904296875,10570.509765625,10623.41015625,10642.150390625,160570000,10642.150390625
2010-03-16,10693.990234375,10621.900390625,10642.5302734375,10685.98046875,227410000,10685.98046875
2010-03-17,10767.98046875,10686.3603515625,10686.3603515625,10733.669921875,194190000,10733.669921875
2010-03-18,10784.0,10728.150390625,10733.4404296875,10779.169921875,153280000,10779.169921875
2010-03-19,10819.900390625,10694.2197265625,10780.0,10741.98046875,434190000,10741.98046875
2010-03-22,10809.849609375,10695.1298828125,10741.0,10785.8896484375,157200000,10785.8896484375
2010-03-23,10893.8896484375,10784.759765625,10787.1796875,10888.830078125,189140000,10888.830078125
2010-03-24,10887.83984375,10825.419921875,10887.6201171875,10836.150390625,195570000,10836.150390625
2010-03-25,10955.48046875,10834.1904296875,10837.509765625,10841.2099609375,200330000,10841.2099609375
2010-03-26,10909.3798828125,10816.4296875,10841.2900390625,10850.3603515625,175490000,10850.3603515625
2010-03-29,10916.6396484375,10849.23046875,10849.23046875,10895.8603515625,136710000,10895.8603515625
2010-03-30,10940.2197265625,10866.830078125,10895.01953125,10907.419921875,148810000,10907.419921875
2010-03-31,10907.419921875,10832.830078125,10907.33984375,10856.6298828125,197060000,10856.6298828125
2010-04-01,10956.3896484375,10857.3095703125,10857.3095703125,10927.0703125,159520000,10927.0703125
2010-04-05,10988.0595703125,10923.9697265625,10927.4501953125,10973.5498046875,139480000,10973.5498046875
2010-04-06,10987.3798828125,10927.51953125,10972.490234375,10969.990234375,159960000,10969.990234375
2010-04-07,10962.66015625,10845.4501953125,10961.9501953125,10897.51953125,187000000,10897.51953125
2010-04-08,10949.3603515625,10844.08984375,10896.990234375,10927.0703125,158930000,10927.0703125
2010-04-09,11000.98046875,10926.919921875,10926.919921875,10997.349609375,150660000,10997.349609375
2010-04-12,11029.76953125,10992.2099609375,10996.75,11005.9697265625,153960000,11005.9697265625
2010-04-13,11038.919921875,10947.76953125,11006.7197265625,11019.419921875,183950000,11019.419921875
2010-04-14,11125.2197265625,11020.6298828125,11020.7001953125,11123.1103515625,223920000,11123.1103515625
2010-04-15,11154.5498046875,11096.2001953125,11122.9599609375,11144.5703125,203720000,11144.5703125
2010-04-16,11153.7900390625,10973.919921875,11143.66015625,11018.66015625,373950000,11018.66015625
2010-04-19,11095.2998046875,10977.849609375,11018.3603515625,11092.0498046875,214850000,11092.0498046875
2010-04-20,11146.080078125,11081.4697265625,11093.1103515625,11117.0595703125,175170000,11117.0595703125
2010-04-21,11153.7197265625,11071.33984375,11116.91015625,11124.919921875,188880000,11124.919921875
2010-04-22,11149.8603515625,11016.400390625,11119.7802734375,11134.2900390625,214700000,11134.2900390625
